site_name,model_name,lookback,look_forward,batch_size,learning_rate,hidden_size,num_layers,epochs,dropout,checkpoint_selection,mse,rmse,mae,r2,train_time
Wind farm site 1 (Nominal capacity-99MW),LSTM,96,3,64,0.001,64,2,20,0.2,last_epoch,59.80377197265625,7.733289854431699,4.362576961517334,0.9086443781852722,49.25487494468689
Wind farm site 1 (Nominal capacity-99MW),CNN_LSTM,96,3,64,0.001,64,2,20,0.2,last_epoch,46.93523406982422,6.850929431093581,3.9085144996643066,0.9283022284507751,63.96698331832886
Wind farm site 1 (Nominal capacity-99MW),CNN,96,3,64,0.001,64,2,20,0.2,last_epoch,52.32282638549805,7.233451899715519,4.42767858505249,0.9200721979141235,42.58945417404175
Wind farm site 2 (Nominal capacity-200MW),LSTM,96,3,64,0.001,64,2,20,0.2,last_epoch,207.52943420410156,14.405881930798321,8.425026893615723,0.9360082745552063,49.08498954772949
Wind farm site 2 (Nominal capacity-200MW),CNN_LSTM,96,3,64,0.001,64,2,20,0.2,last_epoch,161.07847595214844,12.691669549438657,7.558295726776123,0.950331449508667,65.24299573898315
Wind farm site 2 (Nominal capacity-200MW),CNN,96,3,64,0.001,64,2,20,0.2,last_epoch,179.9009552001953,13.412716175338808,8.593249320983887,0.9445275664329529,42.47533559799194
Wind farm site 3 (Nominal capacity-99MW),LSTM,96,3,64,0.001,64,2,20,0.2,last_epoch,28.656049728393555,5.353134570360954,3.1956965923309326,0.9214792847633362,48.368314266204834
Wind farm site 3 (Nominal capacity-99MW),CNN_LSTM,96,3,64,0.001,64,2,20,0.2,last_epoch,21.45208168029785,4.6316392001426285,2.7863340377807617,0.941218912601471,64.99840569496155
Wind farm site 3 (Nominal capacity-99MW),CNN,96,3,64,0.001,64,2,20,0.2,last_epoch,22.29199981689453,4.721440438774435,2.9737484455108643,0.9389174580574036,42.251853942871094
Wind farm site 4 (Nominal capacity-66MW),LSTM,96,3,64,0.001,64,2,20,0.2,last_epoch,13.027830123901367,3.6094085559688818,2.1534526348114014,0.9702962636947632,48.66595911979675
Wind farm site 4 (Nominal capacity-66MW),CNN_LSTM,96,3,64,0.001,64,2,20,0.2,last_epoch,11.201866149902344,3.346918903992498,2.0137596130371094,0.9744595289230347,65.56417655944824
Wind farm site 4 (Nominal capacity-66MW),CNN,96,3,64,0.001,64,2,20,0.2,last_epoch,12.572999000549316,3.5458424951694227,2.375682830810547,0.9713332653045654,41.74024677276611
Wind farm site 5 (Nominal capacity-36MW),LSTM,96,3,64,0.001,64,2,20,0.2,last_epoch,8.829132080078125,2.971385548877514,1.7776352167129517,0.850928783416748,48.54520130157471
Wind farm site 5 (Nominal capacity-36MW),CNN_LSTM,96,3,64,0.001,64,2,20,0.2,last_epoch,3.930058717727661,1.9824375696923373,1.2972545623779297,0.9336448311805725,65.75999736785889
Wind farm site 5 (Nominal capacity-36MW),CNN,96,3,64,0.001,64,2,20,0.2,last_epoch,4.718903064727783,2.17230363087847,1.4831424951553345,0.9203259348869324,42.1358745098114
Wind farm site 6 (Nominal capacity-96MW),LSTM,96,3,64,0.001,64,2,20,0.2,last_epoch,27.11530876159668,5.207236192222961,3.342390298843384,0.9724920392036438,48.3816454410553
Wind farm site 6 (Nominal capacity-96MW),CNN_LSTM,96,3,64,0.001,64,2,20,0.2,last_epoch,28.929426193237305,5.378608202243151,3.5530014038085938,0.9706516861915588,64.93950939178467
Wind farm site 6 (Nominal capacity-96MW),CNN,96,3,64,0.001,64,2,20,0.2,last_epoch,30.311208724975586,5.505561617580498,3.86147403717041,0.9692499041557312,41.50696659088135
