site_name,model_name,lookback,look_forward,batch_size,learning_rate,hidden_size,num_layers,epochs,dropout,checkpoint_selection,mse,rmse,mae,r2,train_time,site_id
Wind farm site 1 (Nominal capacity-99MW),CNN,96,4,64,0.001,64,2,20,0.2,last_epoch,70.98167419433594,8.425062266496072,5.231493949890137,0.8915748596191406,41.25669407844544,1
Wind farm site 1 (Nominal capacity-99MW),CNN_LSTM,96,4,64,0.001,64,2,20,0.2,last_epoch,67.84539794921875,8.23683179075661,4.941339015960693,0.8963655233383179,63.653849840164185,1
Wind farm site 1 (Nominal capacity-99MW),LSTM,96,4,64,0.001,64,2,20,0.2,last_epoch,97.74141693115234,9.886425892664768,5.663408279418945,0.8506991267204285,48.123271226882935,1
Wind farm site 2 (Nominal capacity-200MW),CNN,96,4,64,0.001,64,2,20,0.2,last_epoch,287.65264892578125,16.960325731712267,11.053318977355955,0.9112981557846068,42.47843027114868,2
Wind farm site 2 (Nominal capacity-200MW),CNN_LSTM,96,4,64,0.001,64,2,20,0.2,last_epoch,260.7789611816406,16.148651992709503,10.230765342712402,0.9195850491523744,65.21684050559998,2
Wind farm site 2 (Nominal capacity-200MW),LSTM,96,4,64,0.001,64,2,20,0.2,last_epoch,337.59893798828125,18.37386562452989,10.76700496673584,0.8958964943885803,48.23236322402954,2
Wind farm site 3 (Nominal capacity-99MW),CNN,96,4,64,0.001,64,2,20,0.2,last_epoch,30.828563690185547,5.552347583696967,3.694949150085449,0.9155076146125792,41.99831581115723,3
Wind farm site 3 (Nominal capacity-99MW),CNN_LSTM,96,4,64,0.001,64,2,20,0.2,last_epoch,29.06326675415039,5.391035777487513,3.3250279426574707,0.9203457832336426,66.41034483909607,3
Wind farm site 3 (Nominal capacity-99MW),LSTM,96,4,64,0.001,64,2,20,0.2,last_epoch,48.11126327514648,6.936228317691574,4.009228706359863,0.8681406378746033,47.97713851928711,3
Wind farm site 4 (Nominal capacity-66MW),CNN,96,4,64,0.001,64,2,20,0.2,last_epoch,19.823261260986328,4.452332114856924,2.935788631439209,0.954803466796875,41.77525568008423,4
Wind farm site 4 (Nominal capacity-66MW),CNN_LSTM,96,4,64,0.001,64,2,20,0.2,last_epoch,17.68320083618164,4.205139811728219,2.5109848976135254,0.9596827626228333,64.82196259498596,4
Wind farm site 4 (Nominal capacity-66MW),LSTM,96,4,64,0.001,64,2,20,0.2,last_epoch,22.439367294311523,4.737020930322298,2.7653090953826904,0.9488388299942015,48.04014229774475,4
Wind farm site 5 (Nominal capacity-36MW),CNN,96,4,64,0.001,64,2,20,0.2,last_epoch,6.560896396636963,2.561424681039238,1.7662118673324585,0.8892353177070618,41.711066484451294,5
Wind farm site 5 (Nominal capacity-36MW),CNN_LSTM,96,4,64,0.001,64,2,20,0.2,last_epoch,4.0747270584106445,2.018595318138493,1.1242257356643677,0.9312081933021544,64.5785083770752,5
Wind farm site 5 (Nominal capacity-36MW),LSTM,96,4,64,0.001,64,2,20,0.2,last_epoch,13.025744438171388,3.609119620928543,2.3319990634918213,0.7800921201705933,48.43514347076416,5
Wind farm site 6 (Nominal capacity-96MW),CNN,96,4,64,0.001,64,2,20,0.2,last_epoch,35.39590835571289,5.949446054525824,4.094840049743652,0.964091956615448,42.72031664848328,6
Wind farm site 6 (Nominal capacity-96MW),CNN_LSTM,96,4,64,0.001,64,2,20,0.2,last_epoch,49.38047790527344,7.027124440713529,4.748571872711182,0.9499050378799438,66.0578784942627,6
Wind farm site 6 (Nominal capacity-96MW),LSTM,96,4,64,0.001,64,2,20,0.2,last_epoch,45.85992813110352,6.771995875006387,4.345046043395996,0.9534764885902404,48.54200792312622,6
